company_id,metric_type,original_text
ONGC,compounded_sales_growth,7.0
ONGC,compounded_profit_growth,10.97
PFC,compounded_sales_growth,11.08
PFC,compounded_profit_growth,15.92
PIDILITIND,compounded_sales_growth,11.84
PIDILITIND,compounded_profit_growth,13.49
PNB,compounded_sales_growth,15.9
POWERGRID,compounded_sales_growth,5.51
POWERGRID,compounded_profit_growth,9.19
RECLTD,compounded_sales_growth,13.34
RECLTD,compounded_profit_growth,19.76
RELIANCE,compounded_sales_growth,9.61
RELIANCE,compounded_profit_growth,14.68
SBILIFE,compounded_sales_growth,24.23
SBILIFE,compounded_profit_growth,7.37
SBIN,compounded_sales_growth,11.63
SBIN,compounded_profit_growth,83.41
SHREECEM,compounded_sales_growth,10.33
SHREECEM,compounded_profit_growth,11.29
SHRIRAMFIN,compounded_sales_growth,18.56
SHRIRAMFIN,compounded_profit_growth,23.49
SIEMENS,compounded_sales_growth,11.19
SIEMENS,compounded_profit_growth,19.85
SUNPHARMA,compounded_sales_growth,10.78
SUNPHARMA,compounded_profit_growth,24.54
TATACONSUM,compounded_sales_growth,15.96
TATACONSUM,compounded_profit_growth,21.6
TATAMOTORS,compounded_sales_growth,7.72
TATAPOWER,compounded_sales_growth,15.51
TATAPOWER,compounded_profit_growth,10.43
TATASTEEL,compounded_sales_growth,7.77
TCS,compounded_sales_growth,10.46
TCS,compounded_profit_growth,7.87
TECHM,compounded_sales_growth,8.4
TECHM,compounded_profit_growth,-10.99
TITAN,compounded_sales_growth,20.9
TITAN,compounded_profit_growth,20.27
TORNTPHARM,compounded_sales_growth,6.93
TORNTPHARM,compounded_profit_growth,30.59
TRENT,compounded_sales_growth,36.31
TRENT,compounded_profit_growth,73.11
TVSMOTOR,compounded_sales_growth,14.19
TVSMOTOR,compounded_profit_growth,19.67
ULTRACEMCO,compounded_sales_growth,11.33
ULTRACEMCO,compounded_profit_growth,23.89
UNIONBANK,compounded_sales_growth,23.95
UNITDSPR,compounded_sales_growth,3.92
UNITDSPR,compounded_profit_growth,15.53
VBL,compounded_sales_growth,25.74
VBL,compounded_profit_growth,47.61
VEDL,compounded_sales_growth,9.32
VEDL,compounded_profit_growth,-4.91
WIPRO,compounded_sales_growth,8.75
WIPRO,compounded_profit_growth,4.26
ZOMATO,compounded_sales_growth,55.96
ZYDUSLIFE,compounded_sales_growth,8.22
ZYDUSLIFE,compounded_profit_growth,15.91
